site_id,k4_cluster,k6_cluster,pm25_mean,pm25_std,pm25_p90,pm25_season_amp,temp_mean,humidity_mean,windspeed_mean,precip_mean,k4_label,k6_label,k4_cluster_size,k6_cluster_size,k6_small_cluster
site_135,1,3,29.28629128976048,11.040164020160471,43.35452380952381,17.76124030966325,22.319989485294172,81.79232495256493,1.5152175308388462,0.8548848770239705,pollution-rank-1 / stable / stagnant / humid,pollution-rank-1 / stable / stagnant / humid,13,13,False
site_26,1,3,32.73423836353138,11.871644094149161,48.32691666666666,23.88571937284383,22.10630531764707,81.48823641413239,1.6501737323568046,0.8415508288510118,pollution-rank-1 / stable / stagnant / humid,pollution-rank-1 / stable / stagnant / humid,13,13,False
site_29,3,1,30.30808164580712,14.273908666411847,49.486375,41.06499225067431,22.159049108695683,81.10389827498416,1.6345016913620363,0.8252480764873479,pollution-rank-2 / stable / ventilated / drier,pollution-rank-3 / stable / ventilated / humid,16,11,False
site_35,3,1,44.015527225270645,16.451590121014604,65.93583333333333,44.88884143023007,22.380016786703607,80.6966585792215,1.546150224835358,0.8757801253728533,pollution-rank-2 / stable / ventilated / drier,pollution-rank-3 / stable / ventilated / humid,16,11,False
site_36,3,5,38.86613165823653,15.066451170042157,57.15083333333334,35.75937741709211,22.383507396593643,80.87547587704971,1.608985888134956,0.9547532907664232,pollution-rank-2 / stable / ventilated / drier,pollution-rank-2 / stable / ventilated / drier,16,6,False
site_39,3,1,45.15017352647206,16.085866252832147,64.04595238095237,45.886726353109665,22.16558158008661,81.0594870127329,1.6276943853433188,0.8294701069855412,pollution-rank-2 / stable / ventilated / drier,pollution-rank-3 / stable / ventilated / humid,16,11,False
site_43,3,1,37.850106660927395,17.25657019601612,61.506,40.47865929951017,22.15975696787143,81.08597788885663,1.5977695444883655,0.8333576741712451,pollution-rank-2 / stable / ventilated / drier,pollution-rank-3 / stable / ventilated / humid,16,11,False
site_44,1,3,26.60277421226391,12.563177140445156,43.00375,31.83829426595323,22.14723669527899,81.15817850356126,1.6190416457514958,0.8311665626913735,pollution-rank-1 / stable / stagnant / humid,pollution-rank-1 / stable / stagnant / humid,13,13,False
site_45,0,4,49.76058824579363,20.672217605695813,77.38108333333334,51.317370311898976,22.04926168316831,81.30137288585783,1.530097336303817,0.8397022104701782,pollution-rank-4 / volatile / ventilated / drier,pollution-rank-5 / volatile / stagnant / drier,7,5,False
site_46,1,3,28.903486963312126,11.567725359122647,44.56442857142858,31.90385785834978,22.139274323232314,81.10830293570703,1.5851243115199534,0.836014507883394,pollution-rank-1 / stable / stagnant / humid,pollution-rank-1 / stable / stagnant / humid,13,13,False
site_47,3,1,40.235638984074356,17.339094808809033,62.207125,36.99226045460887,21.985048413173672,81.02835427690339,1.4443356822081062,0.8288050845548502,pollution-rank-2 / stable / ventilated / drier,pollution-rank-3 / stable / ventilated / humid,16,11,False
site_48,1,3,22.79958058562999,11.789886592032516,37.07575974025974,28.156169573612743,22.165304087136974,80.96609851771117,1.5718161054281397,0.8051558662080497,pollution-rank-1 / stable / stagnant / humid,pollution-rank-1 / stable / stagnant / humid,13,13,False
site_49,3,1,30.724039112135735,14.775026339776245,49.51108333333334,35.61605951515876,22.155898416833736,81.09396841300399,1.6008955921262484,0.8317917775396394,pollution-rank-2 / stable / ventilated / drier,pollution-rank-3 / stable / ventilated / humid,16,11,False
site_51,3,1,39.968127542730365,19.458584263804756,66.61733333333335,42.16989156675349,22.284545743440276,81.08958098857418,1.6513709624191473,0.8105752088602333,pollution-rank-2 / stable / ventilated / drier,pollution-rank-3 / stable / ventilated / humid,16,11,False
site_52,3,1,30.401648803557702,19.017189059979962,51.541095588235294,45.947494788213824,22.210127487437205,80.91383373502363,1.6002612849687938,0.8572304076121104,pollution-rank-2 / stable / ventilated / drier,pollution-rank-3 / stable / ventilated / humid,16,11,False
site_53,0,4,50.559962742901455,18.279832098273907,74.65744736842106,41.335868364374775,22.103002800000013,80.5147004216888,1.479815097998257,0.7447427115100801,pollution-rank-4 / volatile / ventilated / drier,pollution-rank-5 / volatile / stagnant / drier,7,5,False
site_54,0,4,62.90655395669274,21.19187207776693,89.71466666666667,40.40832075565112,22.136872511848367,80.76570993861264,1.5560542856404906,0.80982147259782,pollution-rank-4 / volatile / ventilated / drier,pollution-rank-5 / volatile / stagnant / drier,7,5,False
site_57,0,1,42.90059776669544,18.497002594526467,68.48625526315789,42.15256155664859,21.952626496598725,81.20396794728316,1.5733024425668491,0.814829553440204,pollution-rank-4 / volatile / ventilated / drier,pollution-rank-3 / stable / ventilated / humid,7,11,False
site_58,2,2,46.72507640244324,18.688557011470696,72.06416666666668,39.79026840793227,21.27354438554221,86.17460272428428,1.1784939025629784,0.9822018161237591,pollution-rank-3 / volatile / stagnant / humid,pollution-rank-4 / volatile / stagnant / humid,3,3,True
site_59,2,2,54.62644627488551,22.696296127586194,83.70395833333333,42.042146061342564,21.491593324999997,85.85899369557325,1.1695026947093332,1.06530606442855,pollution-rank-3 / volatile / stagnant / humid,pollution-rank-4 / volatile / stagnant / humid,3,3,True
site_60,3,5,35.14360211663336,13.731390351824139,53.3916153846154,23.62616115535958,22.514239100000054,80.45462660344043,1.766042213627981,0.9269483879670001,pollution-rank-2 / stable / ventilated / drier,pollution-rank-2 / stable / ventilated / drier,16,6,False
site_61,0,0,55.77587302558881,28.81191345954211,93.25495471014493,72.39238700348852,22.252820172413863,80.42499880623764,1.6722308939900095,0.8229005523258129,pollution-rank-4 / volatile / ventilated / drier,pollution-rank-6 / volatile / ventilated / drier,7,1,True
site_62,1,3,32.43298727769344,13.585530636447455,49.71983333333333,27.92163492797167,22.064802067901212,80.7828050626006,1.4261203300875402,0.8122060030020988,pollution-rank-1 / stable / stagnant / humid,pollution-rank-1 / stable / stagnant / humid,13,13,False
site_63,0,4,44.97725190276568,21.047864242179344,71.71270833333334,52.97017697916535,22.23668793103451,80.572384268848,1.65510500805678,0.8197870167765517,pollution-rank-4 / volatile / ventilated / drier,pollution-rank-5 / volatile / stagnant / drier,7,5,False
site_64,2,2,38.31204408134026,19.282217024430814,64.62075,45.218597156214656,21.248496157024874,86.13440244458015,1.0948592783958637,1.0038850693572727,pollution-rank-3 / volatile / stagnant / humid,pollution-rank-4 / volatile / stagnant / humid,3,3,True
site_65,1,3,29.469779943823678,12.084348270957276,44.73991666666667,26.487349350388047,22.24863374384239,80.42290802411341,1.6826945190840583,0.8207876704194088,pollution-rank-1 / stable / stagnant / humid,pollution-rank-1 / stable / stagnant / humid,13,13,False
site_66,3,1,33.0346634750068,14.967300552157694,52.094166666666666,37.8848148990746,22.25478568238219,80.38031766599998,1.6927973981738795,0.8126932114399007,pollution-rank-2 / stable / ventilated / drier,pollution-rank-3 / stable / ventilated / humid,16,11,False
site_67,3,5,32.83588544844531,15.131413871162483,52.81131304347824,33.88368833636741,22.562616366279087,79.98098513483585,1.7336612106220375,0.923940607602907,pollution-rank-2 / stable / ventilated / drier,pollution-rank-2 / stable / ventilated / drier,16,6,False
site_68,3,5,36.67926045513881,17.451764188282226,60.53048026315793,37.879592664271556,22.548808219895307,80.08814300440712,1.680212008396933,0.894909128670157,pollution-rank-2 / stable / ventilated / drier,pollution-rank-2 / stable / ventilated / drier,16,6,False
site_69,3,5,33.13409343141849,11.97936651307147,48.97195238095238,29.70010670376793,22.635104663677055,80.03028796601424,1.7498139868289924,0.8607103139233185,pollution-rank-2 / stable / ventilated / drier,pollution-rank-2 / stable / ventilated / drier,16,6,False
site_70,3,1,39.9077833371316,15.696149997367863,57.918424242424244,33.58880467419765,22.285491061007974,80.23696920818423,1.721749843224281,0.7970510188805836,pollution-rank-2 / stable / ventilated / drier,pollution-rank-3 / stable / ventilated / humid,16,11,False
site_71,3,5,33.89614475364449,14.960111639079742,52.749583333333334,38.62096786605514,22.599096487341797,80.60786607223746,1.6372665192089833,0.9383438512503165,pollution-rank-2 / stable / ventilated / drier,pollution-rank-2 / stable / ventilated / drier,16,6,False
site_72,0,4,56.29035283404127,20.9863310500141,84.89673913043478,41.20955763882176,22.24591514880956,79.84648457248687,1.584556104626286,0.7496312981764286,pollution-rank-4 / volatile / ventilated / drier,pollution-rank-5 / volatile / stagnant / drier,7,5,False
site_74,1,3,25.822616280900988,10.68800837048919,40.7827044534413,16.46329782534466,22.0878092542373,80.97933430329073,1.7575571396931293,0.8185879671268474,pollution-rank-1 / stable / stagnant / humid,pollution-rank-1 / stable / stagnant / humid,13,13,False
site_76,1,3,27.02267901238026,9.702095840772952,39.27440000000001,14.328819992891138,21.97771396887157,80.82793069647488,1.676191020122252,0.7990928016280934,pollution-rank-1 / stable / stagnant / humid,pollution-rank-1 / stable / stagnant / humid,13,13,False
site_79,1,3,32.166757704594716,11.093632259729892,48.66083333333336,23.503004593240313,22.190594755700374,80.59269508402865,1.7145429577123767,0.7919341054614983,pollution-rank-1 / stable / stagnant / humid,pollution-rank-1 / stable / stagnant / humid,13,13,False
site_88,1,3,34.85739910441623,10.707522052868303,48.19379166666666,19.937086303296027,21.8900025625,80.93747518952468,1.4291516520037892,0.748197735265375,pollution-rank-1 / stable / stagnant / humid,pollution-rank-1 / stable / stagnant / humid,13,13,False
site_89,1,3,32.31596539542627,11.148046150374059,48.57066666666667,23.206064692447484,21.908037979797996,80.59093027727114,1.4719770449482068,0.7456348414894949,pollution-rank-1 / stable / stagnant / humid,pollution-rank-1 / stable / stagnant / humid,13,13,False
site_91,1,3,31.668038403072245,11.786671165806402,46.2825,30.975680886050498,21.95573456790129,82.42091962509927,1.3148705461379422,0.7997589353229629,pollution-rank-1 / stable / stagnant / humid,pollution-rank-1 / stable / stagnant / humid,13,13,False
